,mean_ic,std_ic,ic_ir,positive_ic_ratio,n_obs
alpha_42,0.058015749528470745,0.21599758050455642,0.26859444162606405,0.6053333333333333,375.0
alpha_69,0.041600569149696294,0.2026669304959207,0.2052656989855006,0.6070460704607046,369.0
alpha_62,0.031108037688374685,0.18068249310514256,0.1721696283551952,0.576271186440678,354.0
alpha_64,0.027143330892488483,0.19616157573016055,0.13837231267803649,0.5371900826446281,121.0
alpha_63,0.01918939459559892,0.2139836602370876,0.08967691539740912,0.5444444444444444,360.0
alpha_74,0.015439449162330908,0.18635163563921214,0.08285115990148725,0.5300859598853869,349.0
alpha_101,0.015233807853852923,0.22196890043072512,0.06863037039974279,0.5626666666666666,375.0
alpha_3,0.013369194016994582,0.19703625409800418,0.06785144225426151,0.5163934426229508,366.0
alpha_6,0.010805339752708172,0.1973693912023591,0.05474678564304287,0.5,366.0
alpha_19,0.010443842979728146,0.22849085587257892,0.04570792533381113,0.5867768595041323,121.0
alpha_66,0.009284314679051522,0.23181311113162878,0.04005086094435627,0.5361111111111111,360.0
alpha_53,0.00594744124090981,0.1935913493357416,0.030721627083473445,0.5,366.0
alpha_70,0.004044017858167807,0.20585115171949211,0.019645349682856462,0.5160349854227405,343.0
alpha_67,0.0035613923105150165,0.21671055743905382,0.01643386622499997,0.5240641711229946,374.0
alpha_73,0.002785516293790709,0.22833060051921264,0.0121994874425258,0.5202156334231806,371.0
alpha_55,-0.00010995810999646375,0.20031062764246346,-0.0005489379734368373,0.5054945054945055,364.0
alpha_2,-0.0004275371942150832,0.19229861429686312,-0.0022232983621652343,0.4701086956521739,368.0
alpha_75,-0.0009429693520269591,0.18826201243477306,-0.005008813726288302,0.510752688172043,372.0
alpha_36,-0.0021124708624708664,0.19340465585359073,-0.01092254399531677,0.5113636363636364,176.0
alpha_72,-0.0030449764690501377,0.18642791591237454,-0.01633326454427037,0.49299719887955185,357.0
alpha_27,-0.004642611408360376,0.17751127053306728,-0.026153896563257284,0.4931506849315068,365.0
alpha_30,-0.00563042059937388,0.20333491689202302,-0.02769037745905743,0.4859550561797753,356.0
alpha_12,-0.008168562448274122,0.1841048669363169,-0.044369073909682755,0.4732620320855615,374.0
alpha_71,-0.009281533847564378,0.22325879762076747,-0.04157298142977833,0.484149855907781,347.0
alpha_25,-0.01490902477551425,0.22905666748957734,-0.06508880504920277,0.45989304812834225,374.0
alpha_68,-0.01647304850311572,0.1861211676594542,-0.08850711990571616,0.4492753623188406,345.0
alpha_65,-0.019719836786079477,0.1941830437634367,-0.10155282564218941,0.4293628808864266,361.0
alpha_61,-0.02528931238183716,0.23189554566695222,-0.10905475699843131,0.4861111111111111,360.0
alpha_48,-0.03310035466954288,0.19182595142918696,-0.1725541013755347,0.4435483870967742,124.0
alpha_60,-0.06456026825266861,0.2024086562812938,-0.31896001603127183,0.3865546218487395,357.0
